index,type,heading,collection,title,authors,publication,volume,issue,pages,year,language,description,url,publication_id,doi,worldcat_link,image,local_copy,featured,notes
14,academic,Academic Studies,,Pismo Slovencu: vpliv Tomaža Šalamuna na brazilskega pesnika Narlana Matosa ,Mojca Medvedšek,Ars & Humanitas,11,2,178-191,2017,Slovenian,,https://journals.uni-lj.si/arshumanitas/article/view/7657,,10.4312/ars.11.2.178-191,https://search.worldcat.org/title/9818260566,,/assets/docs/criticism/academic/2017-Medvedšek.pdf,TRUE,
15,academic,Academic Studies,,Confluências da Latino-Americanidade na Antología Poética Bilíngüe de Narlan Matos,Adenilson de Barros de Albuquerque,Anais do Seminário de Práticas de Ensino de Línguas e Literaturas no âmbito do PARFOR,,,,2017,Portuguese,,https://midas.unioeste.br/sgev/eventos/spellap/anais,antologia,,,,/assets/docs/criticism/academic/2017b-Albuquerque.pdf,TRUE,
16,academic,Academic Studies,,"Literatura, sala de aula e as palavras pontiagudas",Adenilson de Barros de Albuquerque,Revista Prática Docente,2,2,216–228,2017,Portuguese,,https://periodicos.cfs.ifmt.edu.br/periodicos/index.php/rpd/article/view/627/615,,10.23926/RPD.2526-2149.2017.v2.n2.p216-228.id71,https://search.worldcat.org/title/8081197653,,/assets/docs/criticism/academic/2017-Albuquerque.pdf,TRUE,"includes Glossário, poema de Narlan Matos "
17,academic,Academic Studies,,"Memória e identidade nos poemas ""A Via Crucis"" e ""Numa Praia Deserta da Califórnia"", de Narlan Matos",Adenilson de Barros de Albuquerque,17ª Jornada de Estudos Linguísticos e Literários (JELL) (conference paper),,,,2014,Portuguese,,,,,,,,TRUE,Conference paper examining the themes of memory and identity in the poems A Via Crucis and Numa Praia Deserta da Califórnia.
18,academic,Academic Studies,,Narlan Matos e Elegia ao Novo Mundo e Outros Poemas: o prólogo extraviado,Eleuterio Santiago-Díaz,"Revista de Literatura, História e Memória",10,16,,2000,Portuguese,,https://e-revista.unioeste.br/index.php/rlhm/en/article/view/11365,elegia,10.48075/rlhm.v10i16.11365,https://search.worldcat.org/title/11261371384,,/assets/docs/criticism/academic/2000-Santiago-Díaz.pdf,TRUE,
19,essay,Critical Essays,,Dalla Provincia Oscura ala Città del Sole: Aporie quotidiane e circolarità necessaria nella poesia di Narlan Matos,Marco Testi,Fili d'Aquilone,45,,,2017,Italian,,https://www.filidaquilone.it/num045testi.html,provincia,,,,,TRUE,
20,essay,Critical Essays,,Os nossos quintais ea poesia de Narlan Matos em Elegia ao Novo Mundo e outros poemas,Adenilson de Barros de Albuquerque,LL Journal,1,,,2014,Portuguese,,https://lljournal.commons.gc.cuny.edu/2014-1-ritt-texto/,elegia,,,,,TRUE,
21,essay,Critical Essays,,Manca Qualcosa Nella Stanza: la Poesia di Narlan Matos,Giorgio Mobili,Fili d'aquilone,35,,,2014,Italian,,https://www.filidaquilone.it/num035mobili.html,senhoras,,,,"/assets/docs/criticism/essays/2014-Fili d'aquilone - num. 35, La poesia di Narlan Matos.pdf",TRUE,senhoras; acampamento; elegia
22,essay,Critical Essays,,"Como Robin Williams, Narlan Matos e Yoko Ono me auxiliaram a descortinar o submodo expressividade em Filosofia Clínica",Márcio José Andrade da Silva,,,,,n.d.,Portuguese,,https://d1wqtxts1xzle7.cloudfront.net/120997733/Expressividade_OK_Marcio-libre.pdf?1737734733=&response-content-disposition=inline%3B+filename%3DComo_Robin_Williams_Narlan_Matos_e_Yoko.pdf&Expires=1783714451&Signature=G7fAgMrvgvdeGGmsfcdSkaLg8lTBe2vQ2SPpRWQyBHYHigWG4jNCMcCL6nqpicySuR0XWw6tlkAggf0gSzGCNlf5s2a98FQhtYs6JFUyp~1EOUSBHrwr4uVT0YXfK9SuC8Gsvrrn7xoWnSfxuzw94XlFBRwy0ib3h7dvRci1MBNax~gCADh0A3ZN44wfwXFRsp3LSkE1-hdVgcacXU5VyXmQduFTDRlzewbrrZQcJLJPUhsLDe7zdgAqLzFGPayRDDLd398f6bZaZ9UR5l9HF9pt2KNAMbhPFp2jXkuIZnx~HixEBe0QL6~JBDN~G9jb87U-XQjMzLfWdaseiv5GwQ__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA,,,,,/assets/docs/criticism/essays/YYYY-Silva.pdf,TRUE,
23,review,Reviews,,"Narlan Matos, Narciso Selvagem: Il mito rivisitato",Manuela Colombo,Fili d'aquilone,63,,,2023,Italian,,https://www.filidaquilone.it/num063colombo.html,narciso,,,,/assets/docs/criticism/essays/2023-Colombo-Fili d'aquilone.pdf,TRUE,
24,review,Reviews,,La provincia oscura di Narlan Matos,Silvia Leuzzi,La Tigre di Carta,,,,2017,Italian,,https://www.latigredicarta.it/2017/05/29/la-provincia-oscura-di-narlan-matos/,provincia,,,,,TRUE,
25,interviews,Interviews & Media,,"V Salvador sem se umaknil pred poklicnimi morilci : Narlan Matos, ambasador slovenske literarure v Braziliji",Brane Mozetič,Delo,,,,2000,Slovenian,"An interview exploring Narlan Matos's poetic vision, his engagement with Slovenian literature, and the role of translation and cultural exchange in fostering literary dialogue between Brazil and Slovenia.",,,,https://search.worldcat.org/title/443349666,,,TRUE,"newspaper interview. Narlan Matos (Interviewee), Brane Mozetič (Interviewer)"
