index,title,id_url,original_work,original_work_id,author,award,organization,year,country,category,status,url
,Elegia ao Novo Mundo e outros poemas,/poetry/books/elegia/,Elegia ao Novo Mundo e outros poemas,/poetry/books/elegia/,Narlan Matos,Prêmio Internacional Portugal Telecom de Literatura,Portugal Telecom,2012,Portugal,Literary prize,Nomination, 
,Senhoras e senhores: o amanhecer!,/poetry/books/senhoras/,Senhoras e senhores: o amanhecer!,/poetry/books/senhoras/,Narlan Matos,Prêmio Copene de Literatura,Fundação Casa de Jorge Amado,1997,Brazil,Literary prize,Winner, 
,No acampamento das sombras,/poetry/books/acampamento/,No acampamento das sombras,/poetry/books/acampamento/,Narlan Matos,Prêmio Xerox de Literatura Brasileira,Xerox,2000,Brazil,Literary prize,Winner, 
,Eu Cânt Pentru Oameni de Bine,translations/canto-ro/,Canto aos Homens de Boa Vontade,/poetry/books/canto/,,Premiul „Cartea de Poezie a Anului” (Poetry Book of the Year Award),,2023,Romania,Literary prize,Winner,
