index,title,subtitle ,organization,event_type,country,city,venue,year,start_date,end_date,role,description,significance,website,archived_link,program_pdf,gallery,video_links,publication_ids,poem_ids,reception_ids,people,languages,news_url,notes,featured
1,The International Writing Program ,,University of Iowa,,USA,Iowa City,,2002,,,,,,,,,,,,,,,,,,
3,Södermalms Poesifestival,,,,Sweden,Stockholm,,2013,,,,,,https://sodermalmspoesifestival2013.tumblr.com/,,,,,,,,,,,,
2,Druskininkai International Fall Poetic Festival,,,,Lithuania,Druskininkai and Vilnius,,2012,,,,,,,,,,,,,,,,,,
,New Orleans Poetry Festival,,"New Orleans Poetry Festival, Inc.",,USA,New Orleans,,2023,,,,,,,,,,,,,,,,,,
,XXIX Encuentro de Poetas Iberoamericanos,,,,Spain,Salamanca,,2026,,,,,,,,,,,,,,,,,,
,Havana International Poetry Festival,,,,Havana,Cuba,,2017,,,organizer and leader of US delegation,first delegation of US Poets to Cuba since Cuban Revolution,,,,,,,,,,,,https://gwhatchet.com/2017/09/07/professor-leads-poet-group-on-historic-trip-to-cuba/,,
,XVI Festival Internacional de Poesía ,,La Fundación Casa de Poesía,,Costa Rica,,,2017,September 30,October 9,Invited Poet,,,https://surcosdigital.com/xvi-festival-internacional-de-poesia-costa-rica-2017/,,,,,,,,,,,,
